2019-07-08 13:56:47.565155: step 10, loss = 10.25 (5.6 examples/sec; 0.178 sec/batch)
2019-07-08 13:56:49.353079: step 20, loss = 21.19 (5.6 examples/sec; 0.178 sec/batch)
2019-07-08 13:56:51.122982: step 30, loss = 56.89 (5.7 examples/sec; 0.176 sec/batch)
2019-07-08 13:56:53.010329: step 40, loss = 17.44 (5.4 examples/sec; 0.186 sec/batch)
2019-07-08 13:56:54.926143: step 50, loss = 6.70 (5.0 examples/sec; 0.198 sec/batch)
2019-07-08 13:56:56.827917: step 60, loss = 31.84 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:56:58.721978: step 70, loss = 11.50 (5.3 examples/sec; 0.187 sec/batch)
2019-07-08 13:57:00.638734: step 80, loss = 6.34 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 13:57:02.526989: step 90, loss = 16.69 (5.3 examples/sec; 0.187 sec/batch)
2019-07-08 13:57:04.424748: step 100, loss = 6.85 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 13:57:08.116872: step 110, loss = 20.16 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 13:57:10.051882: step 120, loss = 18.17 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 13:57:12.030569: step 130, loss = 6.46 (5.0 examples/sec; 0.202 sec/batch)
2019-07-08 13:57:13.984755: step 140, loss = 9.45 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 13:57:15.964411: step 150, loss = 14.28 (5.0 examples/sec; 0.199 sec/batch)
2019-07-08 13:57:17.923441: step 160, loss = 7.12 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:57:19.888262: step 170, loss = 9.24 (5.1 examples/sec; 0.198 sec/batch)
2019-07-08 13:57:21.840588: step 180, loss = 6.33 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:57:23.764256: step 190, loss = 7.90 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:57:25.709688: step 200, loss = 9.77 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:57:29.348628: step 210, loss = 11.60 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 13:57:31.283882: step 220, loss = 8.84 (5.0 examples/sec; 0.198 sec/batch)
2019-07-08 13:57:33.251338: step 230, loss = 6.64 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 13:57:35.213078: step 240, loss = 14.30 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 13:57:37.167461: step 250, loss = 7.53 (5.0 examples/sec; 0.199 sec/batch)
2019-07-08 13:57:39.112125: step 260, loss = 6.10 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:57:41.067792: step 270, loss = 12.08 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 13:57:43.020504: step 280, loss = 6.40 (5.4 examples/sec; 0.186 sec/batch)
2019-07-08 13:57:44.967977: step 290, loss = 12.36 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 13:57:46.941849: step 300, loss = 9.30 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 13:57:50.571252: step 310, loss = 6.33 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 13:57:52.532583: step 320, loss = 11.24 (5.0 examples/sec; 0.201 sec/batch)
2019-07-08 13:57:54.467442: step 330, loss = 9.61 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 13:57:56.407088: step 340, loss = 6.27 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:57:58.377087: step 350, loss = 7.66 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 13:58:00.342194: step 360, loss = 8.61 (4.9 examples/sec; 0.203 sec/batch)
2019-07-08 13:58:02.306248: step 370, loss = 8.01 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:04.277503: step 380, loss = 7.46 (5.1 examples/sec; 0.198 sec/batch)
2019-07-08 13:58:06.236481: step 390, loss = 6.82 (4.8 examples/sec; 0.207 sec/batch)
2019-07-08 13:58:08.227026: step 400, loss = 10.73 (5.1 examples/sec; 0.196 sec/batch)
