2019-07-08 14:15:58.062335: step 10, loss = 160.68 (4.8 examples/sec; 0.207 sec/batch)
2019-07-08 14:16:00.015198: step 20, loss = 14.03 (5.3 examples/sec; 0.187 sec/batch)
2019-07-08 14:16:01.835650: step 30, loss = 10.31 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:16:03.703532: step 40, loss = 55.01 (5.3 examples/sec; 0.187 sec/batch)
2019-07-08 14:16:05.593811: step 50, loss = 30.85 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:16:07.532005: step 60, loss = 5.96 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 14:16:09.478720: step 70, loss = 10.33 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:16:11.506809: step 80, loss = 7.47 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:16:13.666298: step 90, loss = 11.95 (5.3 examples/sec; 0.188 sec/batch)
2019-07-08 14:16:15.615380: step 100, loss = 11.65 (4.9 examples/sec; 0.206 sec/batch)
2019-07-08 14:16:19.299595: step 110, loss = 14.71 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:16:21.250159: step 120, loss = 10.63 (5.0 examples/sec; 0.202 sec/batch)
2019-07-08 14:16:23.180617: step 130, loss = 12.98 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:16:25.105424: step 140, loss = 11.78 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 14:16:27.052789: step 150, loss = 17.98 (5.1 examples/sec; 0.194 sec/batch)
2019-07-08 14:16:29.085012: step 160, loss = 14.82 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:16:31.039306: step 170, loss = 5.81 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:16:32.975582: step 180, loss = 8.50 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 14:16:34.893005: step 190, loss = 11.43 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:16:36.824230: step 200, loss = 9.08 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 14:16:40.471410: step 210, loss = 10.81 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:16:42.421555: step 220, loss = 10.85 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:16:44.364915: step 230, loss = 6.26 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 14:16:46.319830: step 240, loss = 10.94 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:16:48.254073: step 250, loss = 5.60 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:16:50.172900: step 260, loss = 5.72 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:16:52.087005: step 270, loss = 8.06 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:16:54.009657: step 280, loss = 6.19 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:16:55.944523: step 290, loss = 6.85 (5.1 examples/sec; 0.198 sec/batch)
2019-07-08 14:16:57.889892: step 300, loss = 7.15 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:17:01.462403: step 310, loss = 6.39 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:17:03.402595: step 320, loss = 5.75 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 14:17:05.330924: step 330, loss = 12.43 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:17:07.264603: step 340, loss = 7.68 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 14:17:09.186709: step 350, loss = 8.07 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:17:11.133667: step 360, loss = 6.12 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:17:13.068134: step 370, loss = 11.31 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:17:14.991779: step 380, loss = 5.59 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:17:16.938200: step 390, loss = 5.67 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:17:18.876889: step 400, loss = 6.51 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:17:22.527304: step 410, loss = 11.98 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 14:17:24.465363: step 420, loss = 6.77 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:17:26.414803: step 430, loss = 7.28 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 14:17:28.335388: step 440, loss = 6.46 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:17:30.250979: step 450, loss = 7.64 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:17:32.173477: step 460, loss = 6.53 (5.1 examples/sec; 0.194 sec/batch)
2019-07-08 14:17:34.102244: step 470, loss = 9.78 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:17:36.091610: step 480, loss = 8.66 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:17:38.035165: step 490, loss = 13.54 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:17:39.955692: step 500, loss = 8.62 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 14:17:43.970934: step 510, loss = 7.97 (5.0 examples/sec; 0.201 sec/batch)
2019-07-08 14:17:45.900598: step 520, loss = 5.90 (5.1 examples/sec; 0.194 sec/batch)
2019-07-08 14:17:47.843212: step 530, loss = 7.81 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 14:17:49.788156: step 540, loss = 8.35 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 14:17:51.721459: step 550, loss = 14.13 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:17:53.658304: step 560, loss = 9.38 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 14:17:55.586688: step 570, loss = 6.11 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:17:57.525259: step 580, loss = 7.95 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:17:59.475463: step 590, loss = 7.24 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:18:01.396333: step 600, loss = 6.33 (5.4 examples/sec; 0.185 sec/batch)
2019-07-08 14:18:05.030271: step 610, loss = 5.68 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:18:06.967975: step 620, loss = 6.64 (5.1 examples/sec; 0.198 sec/batch)
2019-07-08 14:18:08.908527: step 630, loss = 8.42 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:18:10.833860: step 640, loss = 7.57 (5.0 examples/sec; 0.199 sec/batch)
2019-07-08 14:18:12.762976: step 650, loss = 12.52 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 14:18:14.683454: step 660, loss = 7.40 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:18:16.592505: step 670, loss = 6.64 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:18:18.529095: step 680, loss = 5.84 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:18:20.452242: step 690, loss = 7.14 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:18:22.384111: step 700, loss = 6.53 (5.1 examples/sec; 0.198 sec/batch)
2019-07-08 14:18:25.952848: step 710, loss = 7.95 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:18:27.874817: step 720, loss = 6.36 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 14:18:29.793149: step 730, loss = 6.49 (5.1 examples/sec; 0.196 sec/batch)
