2019-08-01 04:23:55.653827: step 5, loss = 11.79 (26.0 examples/sec; 1.231 sec/batch)
2019-08-01 04:24:01.772367: step 10, loss = 12.42 (26.3 examples/sec; 1.216 sec/batch)
2019-08-01 04:24:07.862406: step 15, loss = 8.84 (26.4 examples/sec; 1.212 sec/batch)
2019-08-01 04:24:13.965558: step 20, loss = 7.38 (26.1 examples/sec; 1.225 sec/batch)
2019-08-01 04:24:20.144490: step 25, loss = 9.12 (26.2 examples/sec; 1.221 sec/batch)
2019-08-01 04:24:26.283766: step 30, loss = 6.47 (25.8 examples/sec; 1.241 sec/batch)
2019-08-01 04:24:32.409781: step 35, loss = 8.68 (26.2 examples/sec; 1.223 sec/batch)
2019-08-01 04:24:38.529428: step 40, loss = 8.78 (25.9 examples/sec; 1.234 sec/batch)
2019-08-01 04:24:44.653189: step 45, loss = 6.05 (26.2 examples/sec; 1.222 sec/batch)
2019-08-01 04:24:50.782502: step 50, loss = 6.40 (26.2 examples/sec; 1.219 sec/batch)
2019-08-01 04:24:56.897527: step 55, loss = 7.53 (26.3 examples/sec; 1.217 sec/batch)
2019-08-01 04:25:03.000743: step 60, loss = 6.79 (26.2 examples/sec; 1.220 sec/batch)
2019-08-01 04:25:09.112690: step 65, loss = 6.87 (26.1 examples/sec; 1.224 sec/batch)
2019-08-01 04:25:15.221180: step 70, loss = 6.37 (26.2 examples/sec; 1.221 sec/batch)
2019-08-01 04:25:21.352047: step 75, loss = 6.24 (26.2 examples/sec; 1.220 sec/batch)
2019-08-01 04:25:27.476094: step 80, loss = 6.29 (26.4 examples/sec; 1.214 sec/batch)
2019-08-01 04:25:33.562999: step 85, loss = 7.66 (26.2 examples/sec; 1.221 sec/batch)
2019-08-01 04:25:39.655494: step 90, loss = 6.67 (26.0 examples/sec; 1.231 sec/batch)
2019-08-01 04:25:45.757543: step 95, loss = 6.92 (26.4 examples/sec; 1.212 sec/batch)
2019-08-01 04:25:51.889585: step 100, loss = 6.93 (26.2 examples/sec; 1.221 sec/batch)
2019-08-01 04:26:01.298511: step 105, loss = 7.39 (26.1 examples/sec; 1.228 sec/batch)
2019-08-01 04:26:07.455548: step 110, loss = 6.87 (25.9 examples/sec; 1.233 sec/batch)
2019-08-01 04:26:13.556133: step 115, loss = 6.91 (26.4 examples/sec; 1.211 sec/batch)
